date,year,quarter,industry,subindustry,institutional_sector,gva_constant,gva_current,total_gva,industry_share_pct,qoq_growth_pct,yoy_growth_pct,industry_rank,rolling_avg_4q,growth_contribution,volatility,cumulative_gva
2021-01-01,2021-22,q4,"agriculture, livestock, forestry and fishing",not specified,total gross saving,582829.1941,1126186.778,7031936.312272883,8.288317302913914,-10.734034897449984,17690385.84938818,5.0,526113.54645,-62561.0890872205,7110107.672459791,17400701.555891223
2021-04-01,2021-22,q1,"agriculture, livestock, forestry and fishing",not specified,total gross saving,489819.8049,878996.7025,5728653.98683535,8.55034718496916,-15.958258464321496,4.550277888044962,3.0,531443.0785,-78166.71047537729,38.51276537132282,17890521.36079122
2021-07-01,2021-22,q2,"agriculture, livestock, forestry and fishing",not specified,total gross saving,423817.4556,775397.012,6794105.224775558,6.238017245515957,-13.47482250405837,5.8987143374131135,6.0,537344.8926,-57108.64988331639,38.32510323990242,18314338.816391222
2021-10-01,2021-22,q3,"agriculture, livestock, forestry and fishing",not specified,total gross saving,673640.0041,1318892.086,7138266.577456275,9.437025036686876,58.94579026867246,3.1745247259436393,3.0,542526.614675,397082.42398266256,36.2301597203627,18987978.820491225
2022-01-01,2022-23,q4,"agriculture, livestock, forestry and fishing",not specified,total gross saving,637391.6949,1217587.496,10827366.844281292,5.886857848883658,-5.380961489724568,9.361662276416173,5.0,556167.239875,-34297.80164127171,35.563009815692915,19625370.515391223
2022-04-01,2022-23,q1,"agriculture, livestock, forestry and fishing",not specified,total gross saving,510890.2347,990560.107,9490641.78079738,5.3830947000201315,-19.846738075218685,4.301669632223559,5.0,561434.847325,-101395.046732779,36.40763581406239,20136260.75009122
2022-07-01,2022-23,q2,"agriculture, livestock, forestry and fishing",not specified,total gross saving,440718.4825,856948.2694,7446320.694339953,5.918607330933194,-13.735191521365753,3.987808118019376,7.0,565660.10405,-60533.52764143181,36.452027347544686,20576979.232591223
2022-10-01,2022-23,q3,"agriculture, livestock, forestry and fishing",not specified,total gross saving,716977.2094,1384236.568,10311926.864301289,6.952892692461708,62.68371712774721,6.433288557127725,4.0,576494.4053750001,449427.96581071184,38.29731393412589,21293956.44199122
2023-01-01,2023-24,q4,"agriculture, livestock, forestry and fishing",not specified,total gross saving,1379824.847,1422842.84,10826888.995540211,12.744425915591954,92.45030789119528,116.4798911000056,3.0,762102.6934,1275652.3194107143,55.87217216729126,22673781.288991224
2023-04-01,2023-24,q1,"agriculture, livestock, forestry and fishing",not specified,total gross saving,1120109.068,1163407.171,9071912.511514291,12.347000332932339,-18.822372967458247,119.24652144853378,3.0,914407.401725,-210831.1064212805,55.56668182266497,23793890.356991224
2023-07-01,2023-24,q2,"agriculture, livestock, forestry and fishing",not specified,total gross saving,918856.9651,987395.9966,7835755.788911809,11.72646251176246,-17.96718807565264,108.49068091896963,3.0,1033942.0223750001,-165092.75906575096,56.72162103392146,24712747.32209122
2023-10-01,2023-24,q3,"agriculture, livestock, forestry and fishing",not specified,total gross saving,727425.9657,1518258.106,11328526.25775673,6.421187974048484,-20.833601601873532,1.4573345098017665,5.0,1036554.21145,-151549.02764251918,55.84185397989545,25440173.287791222
